En_tot Ep Ec 
14.321209 10.114469 4.206740 
14.331322 4.923998 9.407324 
14.350356 10.160262 4.190094 
14.239138 3.920273 10.318864 
14.225948 9.416887 4.809062 
14.138646 5.740546 8.398100 
14.328382 8.881505 5.446877 
14.207860 9.512188 4.695672 
13.991607 2.960947 11.030660 
14.193967 8.520614 5.673353 
14.059519 1.408221 12.651299 
14.168462 8.185918 5.982544 
14.199416 5.446963 8.752454 
14.098535 4.107864 9.990671 
14.132871 3.415719 10.717152 
14.077128 5.059597 9.017531 
14.223561 2.754024 11.469537 
14.249816 6.665732 7.584084 
14.207771 4.621278 9.586493 
13.887142 3.273409 10.613734 
14.312486 7.995236 6.317250 
14.213367 7.815613 6.397754 
14.237597 9.594671 4.642926 
14.396284 11.283234 3.113050 
14.159348 7.115899 7.043449 
14.020087 3.686339 10.333748 
14.067288 6.977176 7.090112 
14.257947 8.316694 5.941254 
14.297862 4.617137 9.680725 
14.223410 6.496982 7.726427 
14.312663 6.998612 7.314051 
14.368256 7.160640 7.207616 
14.265653 5.982426 8.283228 
14.173482 4.826752 9.346729 
14.138416 4.225942 9.912474 
14.141640 6.572675 7.568965 
14.326679 7.620436 6.706244 
14.419264 9.416369 5.002895 
14.015946 6.309816 7.706130 
14.323653 9.961764 4.361889 
14.623668 8.836516 5.787152 
14.281742 7.229666 7.052076 
14.316202 12.059245 2.256957 
14.115738 2.689302 11.426435 
14.138039 8.134333 6.003706 
14.331046 5.952494 8.378552 
14.216609 7.280216 6.936394 
14.295449 6.196050 8.099399 
14.040847 4.774366 9.266481 
14.373361 9.390484 4.982877 
14.077342 6.456461 7.620880 
14.284430 5.433996 8.850433 
14.289032 10.064969 4.224064 
14.197525 3.385353 10.812172 
14.236801 9.359174 4.877628 
14.282022 6.237906 8.044116 
14.287990 7.630712 6.657278 
14.319332 9.218061 5.101270 
14.153861 5.055935 9.097926 
14.351933 10.184814 4.167119 
14.173433 3.071038 11.102395 
14.395466 8.049257 6.346209 
14.160614 4.924006 9.236609 
14.115826 3.316005 10.799820 
14.277552 6.264655 8.012897 
14.224114 7.019180 7.204935 
14.214389 4.205205 10.009184 
14.119335 6.682509 7.436826 
14.226481 4.197387 10.029093 
14.316276 10.106529 4.209747 
14.053924 3.188769 10.865155 
14.178573 8.867190 5.311382 
14.273173 7.470335 6.802837 
14.457235 11.778785 2.678450 
14.225376 9.731748 4.493627 
14.301452 8.808435 5.493017 
14.102504 5.089745 9.012759 
14.140556 4.205293 9.935262 
14.186020 4.933336 9.252685 
14.254162 5.881550 8.372612 
14.222362 2.976466 11.245896 
14.181687 6.268269 7.913418 
14.330966 5.796019 8.534946 
14.206992 4.148610 10.058383 
14.065711 3.170407 10.895304 
14.201619 4.398823 9.802797 
14.083275 5.117366 8.965909 
14.440559 9.959784 4.480774 
14.139317 4.828816 9.310501 
14.200814 8.641266 5.559548 
14.093957 6.320629 7.773328 
14.127337 5.869877 8.257460 
14.444879 9.812182 4.632697 
14.266241 6.739429 7.526812 
14.252056 10.546893 3.705164 
14.188802 1.019803 13.168999 
14.254130 10.314442 3.939688 
14.262031 4.849916 9.412114 
14.217899 7.145092 7.072807 
14.133092 3.853947 10.279145 
14.134095 6.202234 7.931861 
14.124660 6.038521 8.086139 
14.419452 11.362485 3.056967 
14.125751 1.787624 12.338127 
14.180982 7.280778 6.900204 
14.086880 3.154300 10.932579 
14.147672 6.975574 7.172098 
14.092389 5.548050 8.544340 
14.216213 5.323971 8.892241 
14.268130 10.726337 3.541793 
14.182422 5.005877 9.176545 
14.267184 9.158089 5.109096 
14.283737 4.914765 9.368972 
14.370275 8.139840 6.230435 
14.181351 4.903172 9.278179 
14.115501 3.766308 10.349194 
14.374468 8.839979 5.534489 
14.285416 8.948733 5.336683 
14.354120 5.947652 8.406468 
14.390669 8.377204 6.013466 
14.310356 7.911757 6.398599 
14.301308 9.141922 5.159386 
14.261556 7.327705 6.933851 
14.460729 9.131889 5.328840 
14.157775 8.644035 5.513739 
14.318084 11.181533 3.136551 
14.326397 7.750153 6.576244 
14.111151 4.447268 9.663883 
14.419860 9.443750 4.976109 
14.185640 4.799269 9.386371 
14.222078 2.593240 11.628838 
14.174998 7.057147 7.117852 
14.246054 3.719646 10.526407 
14.267245 6.590265 7.676980 
14.219949 6.562287 7.657663 
14.025753 3.118876 10.906878 
14.305749 8.522311 5.783439 
14.411182 10.179416 4.231766 
14.100159 3.231559 10.868601 
14.025152 5.635712 8.389440 
14.274287 8.783836 5.490451 
14.219229 8.170342 6.048886 
14.523219 10.174944 4.348275 
14.250765 5.946827 8.303938 
13.843668 5.254091 8.589576 
14.217573 3.946249 10.271323 
14.225820 8.352945 5.872875 
14.170575 0.438205 13.732370 
14.180254 7.428353 6.751901 
14.220590 5.142337 9.078253 
14.127162 6.189875 7.937288 
14.259635 6.988853 7.270783 
14.526767 10.322518 4.204249 
14.065746 1.898896 12.166850 
14.290804 10.510679 3.780125 
14.214898 5.751130 8.463768 
14.126722 7.537436 6.589285 
14.384227 7.981441 6.402787 
14.313279 9.037228 5.276051 
14.263229 8.374772 5.888457 
14.155169 3.935402 10.219767 
14.212485 9.605026 4.607459 
14.253736 3.540513 10.713223 
14.062000 6.558236 7.503764 
14.272499 6.150492 8.122007 
14.214503 3.275288 10.939215 
14.265853 4.920895 9.344958 
14.115945 3.588298 10.527647 
14.214080 4.664420 9.549660 
14.141961 6.651846 7.490116 
14.179640 3.272548 10.907093 
14.255194 8.931979 5.323215 
14.263410 8.477579 5.785831 
14.198330 7.087322 7.111008 
14.454065 9.104077 5.349988 
14.474232 10.858431 3.615801 
14.204856 9.177011 5.027845 
14.248455 9.155594 5.092861 
13.934415 2.989995 10.944420 
14.189993 4.889895 9.300097 
14.145101 2.929444 11.215657 
14.330108 7.869373 6.460735 
14.224446 1.781155 12.443291 
14.217877 6.888530 7.329347 
14.261238 3.936709 10.324529 
14.218198 5.141089 9.077109 
14.054066 3.249244 10.804821 
14.188608 6.139061 8.049547 
14.094974 4.061007 10.033967 
14.443444 8.593852 5.849592 
14.009655 2.838953 11.170702 
14.210547 7.602423 6.608124 
14.105053 6.946943 7.158109 
14.171469 5.384376 8.787093 
14.506924 10.011565 4.495358 
14.363063 7.184371 7.178692 
14.397612 10.542230 3.855382 
14.274350 3.278591 10.995759 
14.303012 10.494906 3.808106 
14.269025 4.280370 9.988655 
14.219266 7.303097 6.916169 
14.205765 5.202005 9.003760 
14.090624 5.969978 8.120647 
14.202440 6.628895 7.573545 
14.451037 9.903709 4.547328 
14.185554 3.832923 10.352631 
14.243480 9.163513 5.079967 
14.184746 5.463340 8.721407 
14.288463 9.492238 4.796225 
14.388984 7.997305 6.391678 
14.328348 6.681525 7.646823 
14.302915 10.487458 3.815457 
14.197921 4.490823 9.707098 
14.296208 8.830429 5.465779 
14.279288 4.515210 9.764078 
14.296739 6.831258 7.465481 
14.165074 5.670967 8.494107 
14.128547 2.142071 11.986476 
14.187385 5.630740 8.556645 
14.157134 6.651733 7.505401 
14.247161 5.887585 8.359576 
14.139223 6.302261 7.836962 
14.322311 8.318449 6.003862 
14.360559 11.189818 3.170741 
14.364703 9.609986 4.754717 
14.268814 8.521449 5.747366 
14.177614 6.103854 8.073759 
